,Day,Ingred1,Ingred2,Ingred3,Ingred4,Results
0,1,Middle of the Road&trade; brand whiskey,PB&J with the crusts cut off,Purple Beast energy drink,PB&J with the crusts cut off,"You gain 135 Strongness,You gain some Muscle points!,You gain 125 Enchantedness,You gain some Mysticality points!,You gain 125 Sarcasm,You gain some Moxie points!,You gain 13 Adventures,You gain 641 Muscleboundness,You gain some Muscle points!,You gain 77 Enchantedness,You gain some Mysticality points!,You gain 314 Cheek,You gain some Moxie points!,You acquire an effect: Mushroom Samba (11),"
1,1,antique packet of ketchup,snifter of thoroughly aged brandy,disintegrating quill pen,antique packet of ketchup,"You gain 526 Meat,You gain 12 Adventures,You gain 351 Beefiness,You gain some Muscle points!,You gain 68 Magicalness,You gain some Mysticality points!,You gain 323 Sarcasm,You gain some Moxie points!,You acquire an effect: Aspect of the GravyPlum Fairy (14),"
2,1,hellion cube,Gnollish autoplunger,hot katana blade,very small red dress,"You acquire an item: cigarette lighter,You acquire an item: unnamed cocktail,You acquire an item: Duskwalker syringe,You gain 8 Adventures,You gain 92 Strengthliness,You gain a Muscle point!,You gain 119 Mysteriousness,You gain some Mysticality points!,You gain 89 Sarcasm,You gain a Moxie point!,You acquire an effect: HGH-charged (16),"
3,2,blood-faced volleyball,handful of nuts and berries,PB&J with the crusts cut off,handful of nuts and berries,"Your familiar gains a pound: Hawkingotron, the 19 lb. Pocket Professor,You acquire an item: Pocket Professor memory chip,You gain 10 Adventures,You gain 480 Fortitude,You gain some Muscle points!,You acquire an effect: Broken Bone Nubs (10),"
4,2,handful of sand,glob of undifferentiated tissue,handful of sand,pie man was not meant to eat,"You acquire an item: sonar-in-a-biscuit,You acquire an item: glark cable,You acquire an item: cigarette lighter,You gain 9 Adventures,You gain 1875 Strongness,You gain some Muscle points!,You acquire an effect: HGH-charged (21),"
5,2,pie man was not meant to eat,oversized pizza cutter,loaf of soda bread,orcish nailing lube,"You gain 437 Meat,You gain 9 Adventures,You gain 3150 Strengthliness,You gain some Muscle points!,You acquire an effect: Polonoia (23),"
6,2,anticheese,pie man was not meant to eat,Middle of the Road&trade; brand whiskey,Middle of the Road&trade; brand whiskey,"You acquire goat cheese (3),You gain 12 Adventures,You gain 2625 Strengthliness,You gain some Muscle points!,You gain 540 Smarm,You gain some Moxie points!,You acquire an effect: Apoplectic with Rage (21),"
7,2,snifter of thoroughly aged brandy,snifter of thoroughly aged brandy,photoprotoneutron torpedo,glob of undifferentiated tissue,"You acquire an item: Duskwalker syringe,You acquire an item: short writ of habeas corpus,You acquire an item: sonar-in-a-biscuit,You gain 12 Adventures,You gain 441 Chutzpah,You gain some Moxie points!,You acquire an effect: Superveiny 9000 (18),"
8,2,surprisingly capacious handbag,photoprotoneutron torpedo,PB&J with the crusts cut off,scroll of drastic healing,"You acquire an item: cigarette lighter,You acquire an item: unnamed cocktail,You acquire an item: short writ of habeas corpus,You gain 11 Adventures,You gain 200 Strengthliness,You gain a Muscle point!,You acquire an effect: Spicy Limeness (18),"
9,3,dusty bottle of great Zinfandel,imitation White Russian,razor-sharp can lid,Tears of the Quiet Healer,"You acquire an item: unnamed cocktail,You acquire an item: Duskwalker syringe,You acquire an item: glark cable,You gain 9 Adventures,You gain 200 Strongness,You gain 221 Smarm,You gain a Moxie point!,You acquire an effect: Dirty Pear (11),"
10,3,freshwater pearl necklace,inkwell,filthy knitted dread sack,Typical Tavern swill,"You acquire an item: cocktail napkin,You acquire an item: unnamed cocktail,You acquire an item: sonar-in-a-biscuit,You gain 8 Adventures,You gain 330 Roguishness,You gain some Moxie points!,You acquire an effect: Fifty Ways to Bereave Your Lover (17),"
11,3,artisanal hand-squeezed wheatgrass juice,soft green echo eyedrop antidote,glob of undifferentiated tissue,giant discarded plastic fork,"You acquire star (5),You gain 13 Adventures,You acquire an effect: Ashen Burps (20),"
12,3,soft green echo eyedrop antidote,imitation White Russian,neverending wallet chain,unnamed cocktail,"You acquire an item: disassembled clover,You gain 10 Adventures,You gain 200 Strongness,You gain a Muscle point!,You gain 221 Roguishness,You gain a Moxie point!,You acquire an effect: Sinuses For Miles (17),"
13,3,communications windchimes,ridiculously huge sword,amulet of extreme plot significance,very small red dress,"You acquire an item: cocktail napkin,You acquire an item: glark cable,You acquire an item: sonar-in-a-biscuit,You gain 10 Adventures,You acquire an effect: Cravin' for a Ravin' (21),"
14,3,unnamed cocktail,Lockenstock&trade; sandals,Taco Dan's Taco Stand Taco,reinforced beaded headband,"You gain 583 Meat,You gain 9 Adventures,You gain 100 Muscleboundness,You gain 221 Cheek,You gain a Moxie point!,You acquire an effect: Ultrahydrated (19),"
15,4,holistic headache remedy,antique spear,rusty hedge trimmers,enormous belt buckle,"You gain 476 Meat,You gain 8 Adventures,You acquire an effect: Hare-o-dynamic (18),"
16,4,soft green echo eyedrop antidote,imitation White Russian,natural fennel soda,unidentified jerky,"You acquire star (5),You gain 9 Adventures,You gain 500 Beefiness,You gain some Muscle points!,You acquire an effect: Sinuses For Miles (19),"
