,day,turnSpent,advUsed,location,combat,free?,items,meat,rounds,mox,mus,mys,effectsGained,clover,nativeMonster,hpGain,hpLoss,ncTitle,semirare,itemsUsed,skills,crafting,lineRange,freeNC,macroFrom
1,1,1,0,The Neverending Party,N/A,1,[],0,-1,0,0,0,[],,,0,0,???,,[],[],,"[230, 234]",1,[]
2,1,1,0,The Neverending Party,&quot;plain&quot; girl,1,"['coin (6)', 'electronics kit', 'PB&J with the crusts cut off', 'dorky glasses', 'coin (5)', 'green pixel', 'super deluxe mushroom']",154,2,0,0,2,[],,,0,0,,,[],['FIREBALL TOSS!'],,"[234, 255]",,[]
3,1,1,0,The Neverending Party,biker,1,"['coin (7)', 'gas can', 'Middle of the Road&trade; brand whiskey', 'pentagram bandana', 'coin (5)', 'green pixel']",130,3,0,2,3,[],,True,0,0,,,[],"['FIREBALL TOSS!', 'FIREBALL TOSS!']",,"[255, 276]",,[]
4,1,1,0,The Neverending Party,&quot;plain&quot; girl,1,"['coin (6)', 'electronics kit', 'PB&J with the crusts cut off', 'coin (3)', 'green pixel']",124,2,0,4,0,[],,,0,0,,,[],['FIREBALL TOSS!'],,"[276, 293]",,[]
5,1,1,0,The Neverending Party,burnout,1,"['coin (7)', 'super deluxe mushroom', 'van key', 'jam band bootleg', 'denim jacket']",65,2,0,4,0,[],,True,0,0,,,[],['FIREBALL TOSS!'],,"[293, 315]",,[]
6,1,1,0,The Neverending Party,jock,1,"['coin (8)', 'unremarkable duffel bag', 'Purple Beast energy drink', 'cosmetic football', 'coin (5)', 'green pixel']",172,2,2,2,0,[],,True,0,0,,,[],['FIREBALL TOSS!'],,"[315, 339]",,[]
7,1,1,0,The Neverending Party,party girl,1,"['coin (8)', 'runproof mascara', 'very small red dress', 'coin (5)', 'green pixel']",133,3,1,3,0,[],,True,0,0,,,[],"['FIREBALL TOSS!', 'FIREBALL TOSS!']",,"[339, 358]",,[]
8,1,1,0,The Neverending Party,&quot;plain&quot; girl,1,['coin (8)'],136,2,2,0,1,[],,,0,0,,,[],['FIREBALL TOSS!'],,"[358, 372]",,[]
9,1,1,0,The Neverending Party,N/A,1,[],0,-1,0,0,0,"[('Spiced Up', 20)]",,,0,0,"It Hasn't Ended, It's Just Paused",,[],[],,"[372, 389]",1,[]
10,1,1,0,Boxing Daycare,N/A,1,[],0,-1,0,0,0,[],,,0,0,Enter the Boxing Daycare,,[],[],,"[389, 409]",1,[]
11,1,1,0,The Spooky Forest,sausage goblin,1,"['coin (7)', 'magical sausage casing']",84,2,0,5,0,[],,,0,0,,,[],['FIREBALL TOSS!'],,"[409, 428]",,[]
12,1,1,0,Combing (stench) Beach Head,N/A,1,[],0,-1,0,0,0,"[('A Brush with Grossness', 50)]",,,0,0,???,,[],[],,"[428, 432]",1,[]
13,1,1,0,Combing (hot) Beach Head,N/A,1,[],0,-1,0,0,0,"[('Hot-Headed', 50)]",,,0,0,???,,[],[],,"[432, 455]",1,[]
14,1,1,0,The Haunted Kitchen,N/A,1,[],0,-1,0,0,0,[],,,0,0,???,,[],[],,"[455, 464]",1,[]
15,1,1,1,The Haunted Kitchen,zombie chef,0,"['coin (8)', 'fricasseed brains', 'stale baguette', 'bottle of cooking sherry']",26,3,4,0,0,"[('Misty Form', 1)]",,True,0,0,,,[],"['BECOME A CLOUD OF MIST!', 'JUMP ATTACK!']",,"[464, 482]",,[]
16,1,2,0,The Haunted Kitchen,sausage goblin,1,"['coin (7)', 'coin (10)', 'magical sausage casing', 'coin (3)', 'green pixel']",96,2,3,2,0,"[('Misty Form', 1)]",,,0,0,,,[],['BECOME A CLOUD OF MIST!'],,"[482, 503]",,[]
17,1,2,1,The Haunted Kitchen,skullery maid,0,"['coin (7)', 'Special Seasoning']",19,3,0,0,4,[],,True,0,0,,,[],"['JUMP ATTACK!', 'JUMP ATTACK!']",,"[503, 520]",,[]
18,1,3,1,The Haunted Kitchen,possessed silverware drawer,0,"['coin (7)', 'antique packet of ketchup']",0,2,0,2,3,[],,True,0,0,,,[],['JUMP ATTACK!'],,"[520, 534]",,[]
19,1,4,1,The Haunted Kitchen,paper towelgeist,0,['coin (8)'],0,2,2,2,2,[],,True,0,0,,,[],['JUMP ATTACK!'],,"[534, 548]",,[]
20,1,5,1,The Haunted Kitchen,skullery maid,0,"['coin (6)', 'bottle of popskull']",18,3,2,0,3,[],,True,0,0,,,[],"['JUMP ATTACK!', 'JUMP ATTACK!']",,"[548, 565]",,[]
21,1,6,1,The Haunted Kitchen,possessed silverware drawer,0,"['Spookyraven billiards room key', 'coin (6)', 'antique packet of ketchup']",0,2,2,0,3,[],,True,0,0,,,[],['JUMP ATTACK!'],,"[565, 586]",,[]
22,1,7,1,The Haunted Billiards Room,pooltergeist,0,"['coin (7)', 'coin (8)']",0,2,0,2,3,[],,True,0,0,,,[],['JUMP ATTACK!'],,"[586, 614]",,[]
23,1,8,1,The Haunted Billiards Room,N/A,0,['pool cue'],0,-1,0,0,0,[],,,0,0,That's Your Cue,,[],[],,"[614, 696]",,[]
24,1,9,1,The Haunted Billiards Room,N/A,0,[],0,-1,0,0,0,[],,,0,0,Welcome To Our ool Table,,[],[],,"[696, 703]",,[]
25,1,10,1,The Haunted Billiards Room,N/A,0,[],0,-1,0,0,0,[],,,0,0,Welcome To Our ool Table,,[],[],,"[703, 708]",,[]
26,1,11,1,The Haunted Billiards Room,chalkdust wraith,0,"['coin (6)', 'handful of hand chalk']",11,2,2,4,0,[],,True,0,0,,,[],['SING ALONG!'],,"[708, 724]",,[]
27,1,12,1,The Haunted Billiards Room,N/A,0,['Spookyraven library key'],0,-1,0,0,0,[],,,0,0,Welcome To Our ool Table,,[],[],,"[724, 750]",,[]
28,1,13,1,The Spooky Forest,N/A,0,[],0,-1,0,0,0,[],,,0,0,Hoom Hah,,[],[],,"[750, 755]",,[]
29,1,14,0,The Spooky Forest,bar,1,[],0,1,0,0,0,[],,True,0,0,,,[],['THROW LATTE ON OPPONENT!'],,"[755, 763]",,[]
30,1,14,0,The Spooky Forest,sausage goblin,1,"['coin (8)', 'magical sausage casing']",113,4,2,2,3,[],,,0,-6,,,[],"['JUMP ATTACK!', 'JUMP ATTACK!', 'JUMP ATTACK!']",,"[763, 792]",,[]
31,1,14,1,The Haunted Library,banshee librarian,0,['coin (7)'],11,4,0,0,5,[],,True,0,0,,,[],"['JUMP ATTACK!', 'JUMP ATTACK!', 'JUMP ATTACK!']",,"[792, 811]",,[]
32,1,15,1,The Haunted Library,bookbat,0,"['coin (8)', 'coin (5)', 'blue pixel']",12,3,0,5,0,[],,True,0,0,,,[],"['JUMP ATTACK!', 'JUMP ATTACK!']",,"[811, 834]",,[]
33,1,16,0,The Haunted Library,N/A,1,[],0,-1,0,0,0,[],,,0,0,"Take a Look, it's in a Book!",,[],[],,"[834, 839]",1,[]
34,1,16,1,The Haunted Library,writing desk,0,"['coin (7)', 'inkwell', 'snifter of thoroughly aged brandy']",13,5,2,2,2,[],,True,0,0,,,[],"['CHEAT CODE: REPLACE ENEMY!', 'OFFER LATTE TO OPPONENT!', 'JUMP ATTACK!', 'JUMP ATTACK!']",,"[839, 868]",,['bookbat']
35,1,17,1,The Haunted Library,writing desk,0,"['coin (7)', 'inkwell']",14,3,0,5,0,[],,True,0,0,,,[],"['JUMP ATTACK!', 'JUMP ATTACK!']",,"[868, 892]",,[]
36,1,18,1,The Haunted Library,writing desk,0,"['coin (8)', 'coin (10)', 'inkwell', 'Special Seasoning']",10,3,0,5,2,[],,True,0,0,,,[],"['JUMP ATTACK!', 'JUMP ATTACK!']",,"[892, 913]",,[]
37,1,19,0,The Haunted Library,banshee librarian,1,"['disintegrating quill pen', 'killing jar']",0,1,0,0,0,[],,True,0,0,,,[],['USE THE FORCE!'],,"[913, 923]",,[]
38,1,19,1,The Haunted Library,banshee librarian,0,"['coin (7)', 'disintegrating quill pen']",10,3,3,4,0,[],,True,0,0,,,[],"['JUMP ATTACK!', 'JUMP ATTACK!']",,"[923, 941]",,[]
39,1,20,1,The Haunted Library,writing desk,0,"['coin (6)', 'disintegrating quill pen', 'inkwell', 'snifter of thoroughly aged brandy']",12,3,4,2,0,[],,True,0,0,,,[],"['JUMP ATTACK!', 'JUMP ATTACK!']",,"[941, 961]",,[]
40,1,21,1,The Haunted Library,writing desk,0,"['coin (8)', 'disintegrating quill pen', 'snifter of thoroughly aged brandy', ""Lady Spookyraven's necklace""]",15,3,3,2,2,[],,True,0,0,,,[],"['JUMP ATTACK!', 'JUMP ATTACK!']",,"[961, 1036]",,[]
41,1,22,1,The Dark Heart of the Woods,G imp,0,"['coin (7)', 'hot wing', 'Imp Ale', 'vitamin G pill']",56,5,0,7,0,[],,True,0,0,,,[],"['JUMP ATTACK!', 'JUMP ATTACK!', 'JUMP ATTACK!', 'JUMP ATTACK!']",,"[1036, 1060]",,[]
42,1,23,1,The Dark Heart of the Woods,P imp,0,"['coin (7)', 'hot wing']",55,4,0,3,4,[],,True,0,0,,,[],"['JUMP ATTACK!', 'JUMP ATTACK!', 'JUMP ATTACK!']",,"[1060, 1083]",,[]
43,1,24,1,The Dark Heart of the Woods,Fallen Archfiend,0,"['coin (8)', 'deluxe mushroom', 'demon skin', 'pink slime']",84,5,3,5,2,[],,True,0,0,,,[],"['JUMP ATTACK!', 'JUMP ATTACK!', 'JUMP ATTACK!', 'JUMP ATTACK!']",,"[1083, 1112]",,[]
44,1,25,1,The Dark Heart of the Woods,N/A,0,['hot plate'],0,-1,0,0,0,[],,,0,0,Moon Over the Dark Heart,,[],[],,"[1112, 1116]",,[]
45,1,26,1,The Dark Heart of the Woods,N/A,0,[],350,-1,0,0,0,[],,,0,0,Running the Lode,,[],[],,"[1116, 1124]",,[]
46,1,27,1,The Dark Heart of the Woods,G imp,0,"['coin (6)', 'hot wing', 'Imp Ale', 'leather mask', 'coin (5)', 'blue pixel']",64,4,2,2,4,[],,True,0,0,,,[],"['JUMP ATTACK!', 'JUMP ATTACK!', 'JUMP ATTACK!']",,"[1124, 1150]",,[]
47,1,28,0,Your Mushroom Garden,piranha plant,1,"['coin (6)', 'coin (10)', 'piranha pollen', 'super deluxe mushroom']",14,5,0,2,8,[],,True,0,-75,,,[],"['JUMP ATTACK!', 'JUMP ATTACK!', 'JUMP ATTACK!', 'JUMP ATTACK!']",,"[1150, 1183]",,[]
48,1,28,1,The Dark Heart of the Woods,Fallen Archfiend,0,"['coin (8)', 'coin (4)', 'red pixel']",79,5,2,3,4,[],,True,0,0,,,[],"['JUMP ATTACK!', 'JUMP ATTACK!', 'JUMP ATTACK!', 'JUMP ATTACK!']",,"[1183, 1221]",,[]
49,1,29,0,The Spooky Forest,government bureaucrat,1,"['coin (8)', 'government requisition form', 'absentee voter ballot']",80,4,4,5,0,[],,,0,0,,,[],"['JUMP ATTACK!', 'JUMP ATTACK!', 'JUMP ATTACK!']",,"[1221, 1251]",,[]
50,1,29,0,The Haunted Bathroom,sausage goblin,1,"['coin (7)', 'coin (8)', 'magical sausage casing']",138,3,0,0,7,[],,,0,0,,,[],"['FIREBALL TOSS!', 'FIREBALL TOSS!']",,"[1251, 1278]",,[]
51,1,29,1,Guano Junction,N/A,0,"['sonar-in-a-biscuit', 'sonar-in-a-biscuit']",0,-1,0,0,0,[],True,,0,0,How I Wonder What You're At,,[],[],,"[1278, 1288]",,[]
52,1,30,1,The Beanbat Chamber,magical fruit bat,0,"['coin (8)', 'orange', 'lemon', 'sonar-in-a-biscuit']",67,2,2,5,7,[],,True,0,0,,,[],['FIREBALL TOSS!'],,"[1288, 1309]",,[]
53,1,31,1,The Beanbat Chamber,musical fruit bat,0,"['coin (6)', 'grapefruit', 'lemon']",65,2,4,2,0,[],,True,0,0,,,[],['FIREBALL TOSS!'],,"[1309, 1327]",,[]
54,1,32,1,The Beanbat Chamber,beanbat,0,"['coin (6)', 'enchanted bean', 'sonar-in-a-biscuit', 'Special Seasoning']",70,2,0,5,2,"[('Everything Looks Yellow', 50)]",,True,0,0,,,[],['FIREBALL BARRAGE!'],,"[1327, 1358]",,[]
55,1,33,1,The Dark Heart of the Woods,N/A,0,['martini'],0,-1,0,0,0,[],,,0,0,"I, Martin",,[],[],,"[1358, 1362]",,[]
56,1,34,1,The Dark Heart of the Woods,Fallen Archfiend,0,"['coin (7)', 'coin (8)', 'pink slime']",87,5,3,3,2,[],,True,0,0,,,[],"['JUMP ATTACK!', 'JUMP ATTACK!', 'JUMP ATTACK!', 'JUMP ATTACK!']",,"[1362, 1390]",,[]
57,1,35,1,The Dark Heart of the Woods,P imp,0,"['coin (8)', 'hot wing', 'coin (4)', 'green pixel']",65,4,2,5,2,[],,True,0,0,,,[],"['JUMP ATTACK!', 'JUMP ATTACK!', 'JUMP ATTACK!']",,"[1390, 1414]",,[]
58,1,36,1,The Dark Heart of the Woods,Fallen Archfiend,0,"['coin (8)', 'demon skin', 'pink slime', 'stick of firewood']",78,5,2,7,0,[],,True,0,0,,,[],"['JUMP ATTACK!', 'JUMP ATTACK!', 'JUMP ATTACK!', 'JUMP ATTACK!']",,"[1414, 1440]",,[]
59,1,37,1,The Dark Heart of the Woods,N/A,0,['box of birthday candles'],0,-1,0,0,0,[],,,0,0,"Imp Be Nimble, Imp Be Quick",,[],[],,"[1440, 1444]",,[]
60,1,38,1,The Dark Elbow of the Woods,G imp,0,"['coin (7)', 'hot wing', 'Imp Ale']",69,5,2,2,4,[],,True,0,0,,,[],"['JUMP ATTACK!', 'JUMP ATTACK!', 'JUMP ATTACK!', 'JUMP ATTACK!']",,"[1444, 1471]",,[]
61,1,39,1,The Dark Elbow of the Woods,L imp,0,"['coin (7)', 'Imp Ale', 'stick of firewood']",55,4,0,6,2,[],,True,0,0,,,[],"['JUMP ATTACK!', 'JUMP ATTACK!', 'JUMP ATTACK!']",,"[1471, 1493]",,[]
